EDV;TREINAMENTO;DATA AUTORIZAÇÃO;DESCRIÇÃO DO TREINAMENTO;QTD COLABORADOR;STATUS;;;
92785400;[BR-DDS-PLAT];15/09/2022;Plataforma Elevatória;3;INCOMPLETO;;;
92899032;[BR-DDS-PLAT];15/09/2022;Plataforma Elevatória;2;ATIVO;;;
92886079;[BR-DDS-PLAT];27/03/2023;Plataforma Elevatória;3;INCOMPLETO;;;
92885766;[BR-DDS-PLAT];27/03/2023;Plataforma Elevatória;1;ATIVO;;;
92887184;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;24/08/2022;Ponte Rolante;1;EDITAR;;;
92668162;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;08/07/2021;Ponte Rolante;1;EDITAR;;;
92886903;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;28/08/2020;Ponte Rolante;3;INCOMPLETO;;;
92891019;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;17/03/2021;Ponte Rolante;1;EDITAR;;;
92891695;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;10/09/2021;Ponte Rolante;1;EDITAR;;;
92679454;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;30/11/2022;Ponte Rolante;2;ATIVO;;;
92666269;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;16/11/2020;Ponte Rolante;1;EDITAR;;;
92897282;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;16/08/2023;Ponte Rolante;2;ATIVO;;;
92884218;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;17/03/2021;Ponte Rolante;2;INCOMPLETO;;;
92883544;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;17/03/2021;Ponte Rolante;3;INCOMPLETO;;;
92884470;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;30/03/2021;Ponte Rolante;3;INCOMPLETO;;;
92672317;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;27/04/2023;Ponte Rolante;2;ATIVO;;;
92681931;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;03/04/2023;Ponte Rolante;2;ATIVO;;;
92739755;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;24/04/2024;Ponte Rolante;2;ATIVO;;;
92887181;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;11/08/2022;Ponte Rolante;1;EDITAR;;;
92850678;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;07/07/2022;Ponte Rolante;3;INCOMPLETO;;;
92897905;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;14/03/2024;Ponte Rolante;1;ATIVO;;;
92816378;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;07/07/2022;Ponte Rolante;2;INCOMPLETO;;;
92810178;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;11/08/2022;Ponte Rolante;1;INATIVO;;;
92887186;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;11/08/2022;Ponte Rolante;0;;;;
92886793;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;07/07/2022;Ponte Rolante;2;INCOMPLETO;;;
92716912;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;11/08/2022;Ponte Rolante;1;ATIVO;;;
92889982;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;27/04/2023;Ponte Rolante;1;ATIVO;;;
92882572;[BR-DDS-REC-OPRT] RECICLAGEM DE OPERADOR DE PONTE ROLANTE E TALHAS-B;20/01/2023;Ponte Rolante;1;ATIVO;;;
